% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",HFR,SNAP_rate,DPI_rate,PI_rate
92.0,24.7,20.3,4.5,0.539,0.0650178171017215,0.11710172149600745,0.128965709381277
84.0,23.3,31.0,4.4,0.543,0.17224492715843373,0.08523544455819493,0.09327140224012001
92.0,28.0,20.6,3.2,0.607,0.14013057766509968,0.1428378985181859,0.1549650110669141
85.7,27.3,32.0,5.4,0.415,0.1502820872112661,0.08982053099949501,0.09883561689647215
84.8,21.0,30.1,4.3,0.544,0.15869700723603172,0.08528830913600366,0.09354946719831728
81.5,30.9,26.6,5.4,0.214,0.1021989924365023,0.1267070050024465,0.1445720101670897
90.6,37.5,26.9,4.5,0.414,0.10043895860302753,0.10461637963857305,0.11824779268248695
89.9,37.1,24.3,2.9,0.183,0.1294685862254863,0.14460175635507713,0.168751712313634
88.5,29.5,24.7,3.9,0.308,0.1483802907953971,0.10532899608589867,0.11790084276596495
86.5,26.8,28.9,5.7,0.309,0.1581260090556427,0.10008833079117187,0.11031917035186302
85.0,28.2,31.4,5.1,0.401,0.16921244481882913,0.09410446012180335,0.10445791399040111
90.4,30.1,19.6,5.0,0.12,0.12130260771684072,0.12392595835157276,0.13659826509554482
89.8,25.5,24.8,5.7,0.552,0.14593744533583947,0.08708193707490576,0.09555689703072855
87.6,31.6,26.3,4.7,0.266,0.13563767008218114,0.1096474273373368,0.1244842872218614
87.6,23.4,27.2,4.1,0.432,0.13273902382869565,0.09362156900773645,0.10333739637922533
91.6,26.3,22.6,3.6,0.409,0.13007478110065784,0.09622859089456974,0.10687193981001558
90.2,30.4,25.4,3.4,0.455,0.10429827876733419,0.10522429529827787,0.11657098278049144
83.8,21.8,32.7,4.3,0.514,0.18785368985661427,0.08303190853682826,0.09171911723698363
83.0,22.0,32.2,5.0,0.551,0.17913918974011223,0.0993138595371954,0.1088651581036748
91.6,28.0,26.9,4.4,0.46,0.18667262953458974,0.086914450277075,0.09598408058527473
89.1,36.9,20.7,3.0,0.213,0.1180474547867028,0.12604048631029927,0.14386520567803843
89.7,39.3,25.6,4.2,0.111,0.13661545341449433,0.12916249404335722,0.14929911821864467
89.2,26.0,30.3,4.5,0.391,0.18514464785649273,0.09118837370793083,0.10142244128672231
92.5,33.2,26.5,3.1,0.382,0.09900267194711221,0.10642929283602824,0.1209444099580339
82.3,20.7,36.1,5.4,0.568,0.1982437752230356,0.08457122788098533,0.09145426818924166
88.0,26.4,28.8,4.4,0.511,0.15211253277154552,0.09222617611963707,0.10214243780029544
92.8,29.4,26.4,5.0,0.658,0.12487956609559395,0.08923333121402267,0.098882715717297
90.5,29.0,25.7,3.7,0.416,0.0984882151669234,0.10632250500974685,0.11755647041182163
84.9,22.4,24.8,5.9,0.377,0.13416980841541618,0.09812180547483869,0.10798287312302245
