"GEO_ID","NAME","B19058_001E","B19058_001M","B19058_002E","B19058_002M","B19058_003E","B19058_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!No cash public assistance or Food Stamps/SNAP",
"0100000US","United States","118860065","154606","15516032","61677","103344033","164424",
"0400000US01","Alabama","1852518","12189","276758","8035","1575760","12566",
"0400000US02","Alaska","248468","2841","32677","2924","215791","3703",
"0400000US04","Arizona","2519052","11479","325440","7626","2193612","12546",
"0400000US05","Arkansas","1142718","7341","147890","5896","994828","8238",
"0400000US06","California","12944178","15703","1371025","19103","11573153","23140",
"0400000US08","Colorado","2108992","7767","185447","6444","1923545","8427",
"0400000US09","Connecticut","1357269","7141","187721","7431","1169548","7933",
"0400000US10","Delaware","351085","3936","42031","2838","309054","4661",
"0400000US11","District of Columbia","281241","3152","43847","3410","237394","3717",
"0400000US12","Florida","7573456","23478","1117978","17151","6455478","22623",
"0400000US13","Georgia","3686135","15528","534418","11955","3151717","17470",
"0400000US15","Hawaii","455868","4824","58067","3829","397801","5378",
"0400000US16","Idaho","610872","4143","71832","4707","539040","6622",
"0400000US17","Illinois","4822046","12932","675716","12110","4146330","15245",
"0400000US18","Indiana","2533270","10440","284810","8046","2248460","14022",
"0400000US19","Iowa","1247932","7106","143626","5233","1104306","7383",
"0400000US20","Kansas","1110407","6778","93927","4432","1016480","7687",
"0400000US21","Kentucky","1717706","9131","264611","7746","1453095","11283",
"0400000US22","Louisiana","1720801","8997","294324","8598","1426477","11373",
"0400000US23","Maine","531660","5774","79325","3775","452335","6202",
"0400000US24","Maryland","2194657","9484","255500","8760","1939157","10800",
"0400000US25","Massachusetts","2579398","8290","327309","8377","2252089","11713",
"0400000US26","Michigan","3884153","13696","569828","9549","3314325","12611",
"0400000US27","Minnesota","2148725","7378","195355","5375","1953370","8717",
"0400000US28","Mississippi","1091245","8803","178627","6232","912618","8346",
"0400000US29","Missouri","2372190","10844","282855","8461","2089335","13156",
"0400000US30","Montana","416125","4426","46423","3323","369702","4813",
"0400000US31","Nebraska","747562","4452","69556","4296","678006","6031",
"0400000US32","Nevada","1055158","6433","146748","6910","908410","9161",
"0400000US33","New Hampshire","520643","5191","41557","2918","479086","5527",
"0400000US34","New Jersey","3194519","10274","320910","8185","2873609","13976",
"0400000US35","New Mexico","758364","6296","132249","5317","626115","7348",
"0400000US36","New York","7209054","17665","1134997","16821","6074057","25209",
"0400000US37","North Carolina","3882423","16063","541515","11443","3340908","16344",
"0400000US38","North Dakota","315134","3356","24581","2323","290553","3669",
"0400000US39","Ohio","4624669","14929","669233","11016","3955436","17059",
"0400000US40","Oklahoma","1469342","7193","206305","5749","1263037","8793",
"0400000US41","Oregon","1571678","6691","276315","8983","1295363","10219",
"0400000US42","Pennsylvania","4937771","13721","696304","12043","4241467","17708",
"0400000US44","Rhode Island","408239","4139","68721","4032","339518","4891",
"0400000US45","South Carolina","1877887","10574","270560","7350","1607327","11998",
"0400000US46","South Dakota","334003","3659","33201","2436","300802","3768",
"0400000US47","Tennessee","2556332","11690","386016","8105","2170316","14327",
"0400000US48","Texas","9535612","20125","1213231","18459","8322381","24712",
"0400000US49","Utah","943147","4975","72877","4083","870270","5899",
"0400000US50","Vermont","254851","2815","34825","2597","220026","3598",
"0400000US51","Virginia","3120692","13161","282668","8924","2838024","13971",
"0400000US53","Washington","2768076","8506","368261","9085","2399815","10832",
"0400000US54","West Virginia","722125","5656","132935","5390","589190","6168",
"0400000US55","Wisconsin","2326998","7745","290214","7325","2036784","9694",
"0400000US56","Wyoming","223619","4088","14886","1953","208733","4184",
"0400000US72","Puerto Rico","1208438","9900","484100","9040","724338","10391",
