"GEO_ID","NAME","B19058_001E","B19058_001M","B19058_002E","B19058_002M","B19058_003E","B19058_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!No cash public assistance or Food Stamps/SNAP",
"0100000US","United States","116291033","141632","16505893","54782","99785140","145605",
"0400000US01","Alabama","1822439","11200","292257","7689","1530182","12051",
"0400000US02","Alaska","246015","2720","32156","2414","213859","3413",
"0400000US04","Arizona","2400809","11557","339500","8034","2061309","12174",
"0400000US05","Arkansas","1125899","6925","177856","6289","948043","8172",
"0400000US06","California","12650592","16944","1333268","18182","11317324","23361",
"0400000US08","Colorado","2002800","8550","186353","6730","1816447","9822",
"0400000US09","Connecticut","1339860","7005","176981","5737","1162879","8194",
"0400000US10","Delaware","339071","3144","49109","3167","289962","3722",
"0400000US11","District of Columbia","271651","3228","44975","2555","226676","3522",
"0400000US12","Florida","7211584","26752","1132149","15784","6079435","26993",
"0400000US13","Georgia","3546965","15286","592343","10332","2954622","15421",
"0400000US15","Hawaii","450120","4406","55649","3631","394471","4965",
"0400000US16","Idaho","588489","5467","82254","5060","506235","6129",
"0400000US17","Illinois","4783421","13914","678130","12689","4105291","17433",
"0400000US18","Indiana","2498395","10688","338536","9151","2159859","11976",
"0400000US19","Iowa","1236209","7287","158554","5314","1077655","8520",
"0400000US20","Kansas","1113729","6143","120433","3536","993296","7162",
"0400000US21","Kentucky","1705623","9376","307511","7010","1398112","10772",
"0400000US22","Louisiana","1728149","9677","302629","7839","1425520","10797",
"0400000US23","Maine","547686","5711","102915","4245","444771","6125",
"0400000US24","Maryland","2161680","8942","256342","7484","1905338","10487",
"0400000US25","Massachusetts","2536321","9232","351855","8103","2184466","11022",
"0400000US26","Michigan","3832466","10485","670570","9896","3161896","13779",
"0400000US27","Minnesota","2119954","6871","211364","6492","1908590","9586",
"0400000US28","Mississippi","1091002","7807","217940","7567","873062","8409",
"0400000US29","Missouri","2362853","9949","339613","9427","2023240","11172",
"0400000US30","Montana","406288","3840","45613","2817","360675","3709",
"0400000US31","Nebraska","730579","4441","70870","3879","659709","5689",
"0400000US32","Nevada","1002571","7173","126910","5214","875661","6670",
"0400000US33","New Hampshire","519246","4617","49437","3118","469809","4774",
"0400000US34","New Jersey","3176139","9966","330446","8395","2845693","11896",
"0400000US35","New Mexico","753507","6087","130404","5126","623103","7015",
"0400000US36","New York","7219356","14194","1200871","15667","6018485","21424",
"0400000US37","North Carolina","3757480","13443","572375","10890","3185105","15863",
"0400000US38","North Dakota","298298","2835","24018","2224","274280","3593",
"0400000US39","Ohio","4564745","13440","732189","11750","3832556","18094",
"0400000US40","Oklahoma","1447277","6526","218711","5661","1228566","7249",
"0400000US41","Oregon","1523799","7789","313493","7681","1210306","9024",
"0400000US42","Pennsylvania","4938894","14403","660962","12663","4277932","16539",
"0400000US44","Rhode Island","406366","4030","68228","3982","338138","5011",
"0400000US45","South Carolina","1794989","10191","284951","8747","1510038","11620",
"0400000US46","South Dakota","331406","2992","44690","2437","286716","3808",
"0400000US47","Tennessee","2490249","12758","439883","10278","2050366","15245",
"0400000US48","Texas","9110853","20640","1322846","20614","7788007","27528",
"0400000US49","Utah","899475","5032","86614","3791","812861","6081",
"0400000US50","Vermont","253234","2792","40232","2302","213002","3256",
"0400000US51","Virginia","3055863","11608","321811","7822","2734052","13430",
"0400000US53","Washington","2644557","11069","413253","9580","2231304","13029",
"0400000US54","West Virginia","738653","5969","122406","5377","616247","7036",
"0400000US55","Wisconsin","2289424","8727","319343","6640","1970081","9635",
"0400000US56","Wyoming","224003","3223","14095","1694","209908","3617",
"0400000US72","Puerto Rico","1253690","9187","483148","8972","770542","10010",
