"GEO_ID","NAME","B19058_001E","B19058_001M","B19058_002E","B19058_002M","B19058_003E","B19058_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!No cash public assistance or Food Stamps/SNAP",
"0100000US","United States","115969540","150555","16610889","61312","99358651","148324",
"0400000US01","Alabama","1845169","11483","317821","7863","1527348","11730",
"0400000US02","Alaska","251651","2883","35264","2537","216387","3271",
"0400000US04","Arizona","2392168","11611","359500","8197","2032668","12889",
"0400000US05","Arkansas","1143859","7351","181527","5312","962332","8261",
"0400000US06","California","12552658","18433","1282869","15954","11269789","22201",
"0400000US08","Colorado","1996088","8553","200485","7019","1795603","10383",
"0400000US09","Connecticut","1357812","6453","175794","5899","1182018","8249",
"0400000US10","Delaware","340308","3122","50495","2924","289813","3703",
"0400000US11","District of Columbia","266662","3138","42917","2835","223745","3622",
"0400000US12","Florida","7197943","25102","1138182","16396","6059761","27603",
"0400000US13","Georgia","3532908","15691","597812","11115","2935096","16597",
"0400000US15","Hawaii","447748","4282","54313","3111","393435","4434",
"0400000US16","Idaho","583106","5317","85097","4941","498009","6996",
"0400000US17","Illinois","4770194","13140","647018","9577","4123176","14408",
"0400000US18","Indiana","2480077","10833","329203","7495","2150874","12290",
"0400000US19","Iowa","1227048","6132","159608","5779","1067440","6989",
"0400000US20","Kansas","1113911","5555","116179","4107","997732","7311",
"0400000US21","Kentucky","1707004","8109","320667","8232","1386337","10313",
"0400000US22","Louisiana","1719473","9205","308025","8450","1411448","9359",
"0400000US23","Maine","554543","4451","103518","4030","451025","5470",
"0400000US24","Maryland","2157717","7667","254713","6999","1903004","8340",
"0400000US25","Massachusetts","2522394","9088","344598","7474","2177796","9456",
"0400000US26","Michigan","3819068","10789","707080","11581","3111988","13637",
"0400000US27","Minnesota","2111943","6274","209088","5962","1902855","7722",
"0400000US28","Mississippi","1090521","7826","216189","6438","874332","8479",
"0400000US29","Missouri","2359135","11280","358854","8867","2000281","12299",
"0400000US30","Montana","408938","3977","51068","3097","357870","4637",
"0400000US31","Nebraska","733570","4667","72248","3361","661322","5346",
"0400000US32","Nevada","1006605","7913","135056","6181","871549","8907",
"0400000US33","New Hampshire","519137","4650","47417","3579","471720","5974",
"0400000US34","New Jersey","3198799","8893","324833","7980","2873966","10846",
"0400000US35","New Mexico","764996","5964","130704","5326","634292","6232",
"0400000US36","New York","7238922","16375","1176613","14679","6062309","19021",
"0400000US37","North Carolina","3731325","14347","590816","10114","3140509","16443",
"0400000US38","North Dakota","290944","2708","23664","2127","267280","3252",
"0400000US39","Ohio","4554672","11606","743015","10361","3811657","14591",
"0400000US40","Oklahoma","1446667","5298","216753","5307","1229914","6475",
"0400000US41","Oregon","1516957","7216","315060","8810","1201897","9826",
"0400000US42","Pennsylvania","4958249","11531","693863","11196","4264386","14824",
"0400000US44","Rhode Island","413083","3010","66754","3448","346329","4066",
"0400000US45","South Carolina","1787340","9096","297726","8011","1489614","12056",
"0400000US46","South Dakota","323765","3111","36095","2498","287670","3612",
"0400000US47","Tennessee","2480090","11146","452743","9275","2027347","12704",
"0400000US48","Texas","8970959","21541","1318340","16682","7652619","22101",
"0400000US49","Utah","895691","5044","94961","4194","800730","6218",
"0400000US50","Vermont","258520","2853","40516","2421","218004","2956",
"0400000US51","Virginia","3038967","13344","310679","8708","2728288","13689",
"0400000US53","Washington","2636817","10074","418886","8660","2217931","11219",
"0400000US54","West Virginia","741544","5473","120224","4109","621320","6626",
"0400000US55","Wisconsin","2288362","8293","319125","7325","1969237","10551",
"0400000US56","Wyoming","223513","2812","16914","1832","206599","3363",
"0400000US72","Puerto Rico","1263694","9111","488466","8631","775228","9771",
