"GEO_ID","NAME","B19058_001E","B19058_001M","B19058_002E","B19058_002M","B19058_003E","B19058_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!No cash public assistance or Food Stamps/SNAP",
"0100000US","United States","114567419","163249","14535659","58768","100031760","152697",
"0400000US01","Alabama","1815152","10938","267955","9889","1547197","13133",
"0400000US02","Alaska","254610","2804","33844","2384","220766","3411",
"0400000US04","Arizona","2334050","12895","326662","10123","2007388","12431",
"0400000US05","Arkansas","1114902","8104","159070","6193","955832","7912",
"0400000US06","California","12406475","16820","1090442","16430","11316033","21193",
"0400000US08","Colorado","1960585","9151","168437","6563","1792148","10336",
"0400000US09","Connecticut","1358809","7109","148743","5690","1210066","7675",
"0400000US10","Delaware","328765","4178","40024","3074","288741","4827",
"0400000US11","District of Columbia","252388","3730","31901","2880","220487","3899",
"0400000US12","Florida","7035068","25739","919976","13351","6115092","26813",
"0400000US13","Georgia","3482420","15694","491274","10451","2991146","15337",
"0400000US15","Hawaii","445812","4223","44191","3381","401621","4523",
"0400000US16","Idaho","576709","5739","78137","3829","498572","5915",
"0400000US17","Illinois","4752857","13579","562864","9991","4189993","16485",
"0400000US18","Indiana","2470905","11185","303577","8252","2167328","11608",
"0400000US19","Iowa","1223439","6610","142436","5596","1081003","8226",
"0400000US20","Kansas","1101658","6952","104273","5199","997385","8232",
"0400000US21","Kentucky","1684348","9801","289662","8016","1394686","11387",
"0400000US22","Louisiana","1689822","9615","264077","7781","1425745","10295",
"0400000US23","Maine","545417","5576","94021","3952","451396","5622",
"0400000US24","Maryland","2127439","8728","194441","6904","1932998","10530",
"0400000US25","Massachusetts","2520419","10488","310861","8070","2209558","12267",
"0400000US26","Michigan","3806621","12287","673301","11534","3133320","13980",
"0400000US27","Minnesota","2091548","8178","177570","5581","1913978","10023",
"0400000US28","Mississippi","1079999","8323","182619","6999","897380","9910",
"0400000US29","Missouri","2350628","10288","327477","8500","2023151","11892",
"0400000US30","Montana","402747","4175","39874","2660","362873","4369",
"0400000US31","Nebraska","719304","4689","69504","4128","649800","5693",
"0400000US32","Nevada","989811","6963","107789","5558","882022","8469",
"0400000US33","New Hampshire","515431","4523","47710","2996","467721","5360",
"0400000US34","New Jersey","3172421","11815","243210","7542","2929211","13614",
"0400000US35","New Mexico","765183","5603","103829","4572","661354","6976",
"0400000US36","New York","7196427","16507","1058574","16167","6137853","22299",
"0400000US37","North Carolina","3670859","14413","504681","10915","3166178","15717",
"0400000US38","North Dakota","280412","3191","24543","1811","255869","3779",
"0400000US39","Ohio","4525066","15956","673767","12843","3851299","16972",
"0400000US40","Oklahoma","1432959","7544","207999","5718","1224960","8881",
"0400000US41","Oregon","1507137","8164","282080","8305","1225057","10198",
"0400000US42","Pennsylvania","4936030","14212","612701","11345","4323329","16630",
"0400000US44","Rhode Island","402295","4265","61138","3670","341157","4924",
"0400000US45","South Carolina","1761393","10691","264890","8085","1496503","11006",
"0400000US46","South Dakota","318955","3470","35012","2908","283943","4072",
"0400000US47","Tennessee","2440663","12796","429315","8428","2011348","12525",
"0400000US48","Texas","8738664","20291","1168245","18539","7570419","22652",
"0400000US49","Utah","880025","4985","86754","3356","793271","5720",
"0400000US50","Vermont","256922","2727","36139","2295","220783","3401",
"0400000US51","Virginia","2992732","14604","272539","8056","2720193","15696",
"0400000US53","Washington","2606863","9745","374937","8446","2231926","12085",
"0400000US54","West Virginia","741940","5724","118195","5269","623745","7101",
"0400000US55","Wisconsin","2279532","9375","268818","6580","2010714","10122",
"0400000US56","Wyoming","222803","3575","15581","2118","207222","3888",
"0400000US72","Puerto Rico","1319448","9440","492902","8860","826546","8652",
