"GEO_ID","NAME","B19058_001E","B19058_001M","B19058_002E","B19058_002M","B19058_003E","B19058_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!No cash public assistance or Food Stamps/SNAP",
"0100000US","United States","118208250","155130","15938696","56568","102269554","164770",
"0400000US01","Alabama","1846390","11341","292070","9100","1554320","12079",
"0400000US02","Alaska","250185","2685","33620","2352","216565","3442",
"0400000US04","Arizona","2463008","12455","336953","7518","2126055","12859",
"0400000US05","Arkansas","1144663","8300","161934","6335","982729","8233",
"0400000US06","California","12896357","19487","1391152","17261","11505205","23726",
"0400000US08","Colorado","2074735","7548","188522","7334","1886213","9629",
"0400000US09","Connecticut","1343703","6712","180657","6025","1163046","6962",
"0400000US10","Delaware","352595","3920","47881","2896","304714","4523",
"0400000US11","District of Columbia","281787","3030","44868","3033","236919","4070",
"0400000US12","Florida","7463184","23147","1150334","15979","6312850","22882",
"0400000US13","Georgia","3656407","14418","550534","12097","3105873","18641",
"0400000US15","Hawaii","445936","4817","54994","3475","390942","5384",
"0400000US16","Idaho","597421","4571","73132","3832","524289","5228",
"0400000US17","Illinois","4794523","12954","678760","12582","4115763","14135",
"0400000US18","Indiana","2515143","11611","301335","8044","2213808","13418",
"0400000US19","Iowa","1247249","6782","149914","5001","1097335","7979",
"0400000US20","Kansas","1111582","6565","99467","4496","1012115","7924",
"0400000US21","Kentucky","1716168","8844","290837","8112","1425331","9872",
"0400000US22","Louisiana","1737908","9569","264925","8877","1472983","11143",
"0400000US23","Maine","545226","5325","91069","4686","454157","6023",
"0400000US24","Maryland","2177934","7798","256358","8798","1921576","10819",
"0400000US25","Massachusetts","2559951","9181","332972","9236","2226979","13140",
"0400000US26","Michigan","3858532","11041","604153","10063","3254379","12953",
"0400000US27","Minnesota","2147262","7978","204764","6475","1942498","10180",
"0400000US28","Mississippi","1104371","7926","204804","6790","899567","9100",
"0400000US29","Missouri","2374180","11426","300964","7939","2073216","12699",
"0400000US30","Montana","414804","3749","40223","2797","374581","4409",
"0400000US31","Nebraska","744159","3947","67924","3344","676235","4901",
"0400000US32","Nevada","1042065","7714","145618","5309","896447","8813",
"0400000US33","New Hampshire","517615","4643","45010","2823","472605","4958",
"0400000US34","New Jersey","3187963","9239","324103","9355","2863860","11209",
"0400000US35","New Mexico","761797","5816","137058","5251","624739","6884",
"0400000US36","New York","7233694","15840","1162530","15438","6071164","20169",
"0400000US37","North Carolina","3843745","15042","564595","12058","3279150","15708",
"0400000US38","North Dakota","313475","3584","23237","2071","290238","4029",
"0400000US39","Ohio","4606655","12584","691275","11127","3915380","16130",
"0400000US40","Oklahoma","1465951","6457","202374","4998","1263577","7381",
"0400000US41","Oregon","1553205","7348","302100","6538","1251105","9975",
"0400000US42","Pennsylvania","4956037","11868","695477","11554","4260560","15011",
"0400000US44","Rhode Island","407484","4045","70551","4200","336933","4841",
"0400000US45","South Carolina","1857768","9376","273311","8102","1584457","11111",
"0400000US46","South Dakota","339437","2931","38248","2866","301189","3817",
"0400000US47","Tennessee","2530260","10743","418108","8624","2112152","13602",
"0400000US48","Texas","9421412","21122","1213823","16432","8207589","25887",
"0400000US49","Utah","930980","5092","76177","3975","854803","6642",
"0400000US50","Vermont","254865","3016","32867","2120","221998","3837",
"0400000US51","Virginia","3106895","11857","304009","8967","2802886","15023",
"0400000US53","Washington","2728573","8477","387951","9108","2340622","11432",
"0400000US54","West Virginia","734536","5346","126754","4447","607782","6434",
"0400000US55","Wisconsin","2319538","7046","296252","6865","2023286","8762",
"0400000US56","Wyoming","228937","3666","12148","1887","216789","3801",
"0400000US72","Puerto Rico","1221851","9077","487367","9605","734484","9342",
