"GEO_ID","NAME","B19058_001E","B19058_001M","B19058_002E","B19058_002M","B19058_003E","B19058_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!No cash public assistance or Food Stamps/SNAP",
"0100000US","United States","117259427","146938","16262389","60894","100997038","149660",
"0400000US01","Alabama","1841217","10615","299007","7523","1542210","11388",
"0400000US02","Alaska","249659","2978","30970","2203","218689","2966",
"0400000US04","Arizona","2428743","11353","335176","8376","2093567","11886",
"0400000US05","Arkansas","1131288","8373","167346","6225","963942","8721",
"0400000US06","California","12758648","18835","1352297","15358","11406351","22286",
"0400000US08","Colorado","2039592","7530","195363","7460","1844229","10251",
"0400000US09","Connecticut","1355817","6673","183646","6087","1172171","8050",
"0400000US10","Delaware","349743","3705","47147","3073","302596","4294",
"0400000US11","District of Columbia","277378","3304","41373","3333","236005","3880",
"0400000US12","Florida","7328046","25793","1126252","16268","6201794","26316",
"0400000US13","Georgia","3587521","13961","576182","11099","3011339","15054",
"0400000US15","Hawaii","450769","4870","56303","3127","394466","5271",
"0400000US16","Idaho","591587","4733","75297","4010","516290","5775",
"0400000US17","Illinois","4772421","12392","682130","10925","4090291","15862",
"0400000US18","Indiana","2502739","10912","332010","8200","2170729","13141",
"0400000US19","Iowa","1241471","6257","156504","4703","1084967","7716",
"0400000US20","Kansas","1109280","6429","112611","4355","996669","7830",
"0400000US21","Kentucky","1712094","8632","309791","7972","1402303","9766",
"0400000US22","Louisiana","1718194","10232","276355","8201","1441839","11072",
"0400000US23","Maine","549841","5205","97657","3940","452184","5135",
"0400000US24","Maryland","2165438","8230","263503","6301","1901935","9816",
"0400000US25","Massachusetts","2549336","9145","350063","9064","2199273","9867",
"0400000US26","Michigan","3834574","12574","642226","10647","3192348","13847",
"0400000US27","Minnesota","2129195","6975","213801","5858","1915394","8634",
"0400000US28","Mississippi","1095823","8793","202203","6302","893620","9761",
"0400000US29","Missouri","2354809","12290","312922","7645","2041887","13121",
"0400000US30","Montana","410962","3391","47697","2912","363265","4483",
"0400000US31","Nebraska","740765","3795","73821","3397","666944","5084",
"0400000US32","Nevada","1021519","6553","133789","5008","887730","6970",
"0400000US33","New Hampshire","519756","4605","44989","3483","474767","4704",
"0400000US34","New Jersey","3194844","10719","316198","7845","2878646","12286",
"0400000US35","New Mexico","760916","6897","121625","4604","639291","7153",
"0400000US36","New York","7282398","15877","1192535","16523","6089863","23138",
"0400000US37","North Carolina","3790620","14716","562301","10758","3228319","16620",
"0400000US38","North Dakota","305431","3533","27796","2417","277635","4281",
"0400000US39","Ohio","4593172","13994","713703","10260","3879469","15416",
"0400000US40","Oklahoma","1459759","5575","211066","5351","1248693","6842",
"0400000US41","Oregon","1535511","6674","301919","7717","1233592","9481",
"0400000US42","Pennsylvania","4945972","12878","685022","10784","4260950","13756",
"0400000US44","Rhode Island","409654","3327","73758","3993","335896","4800",
"0400000US45","South Carolina","1826914","10151","267658","8900","1559256","11506",
"0400000US46","South Dakota","334475","2656","40316","2727","294159","3681",
"0400000US47","Tennessee","2509665","11315","454769","9178","2054896","12958",
"0400000US48","Texas","9277197","22719","1256219","17277","8020978","25069",
"0400000US49","Utah","918370","4666","80080","4887","838290","7107",
"0400000US50","Vermont","257229","3177","38991","2285","218238","3257",
"0400000US51","Virginia","3083820","12955","322621","9014","2761199","15130",
"0400000US53","Washington","2679601","9916","398594","7758","2281007","11380",
"0400000US54","West Virginia","735375","6298","125003","4804","610372","6098",
"0400000US55","Wisconsin","2307685","7753","316513","6769","1991172","9509",
"0400000US56","Wyoming","232594","2987","17271","2185","215323","3584",
"0400000US72","Puerto Rico","1233490","9061","487687","9101","745803","9378",
