House Leaning,Senate Leaning,Average Leaning,LocYear,Geography,% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",GeoFIPS,HFR,SNAP_rate,DPI_rate,PI_rate
0.14285714285714285,0.19999999999999996,0.1714285714285714,AL2010,0400000US01,0.821,0.2189999999999999,0.3,0.0409999999999999,1000,0.456,0.1476212460444084,0.0820108178268266,0.0892866272356254
-0.10000000000000003,0.0,-0.05000000000000002,AK2010,0400000US02,0.91,0.2789999999999999,0.177,0.0279999999999999,2000,0.611,0.1329248654805388,0.1284470366442795,0.138935234279879
-0.16666666666666669,-0.19999999999999996,-0.18333333333333332,AZ2010,0400000US04,0.856,0.259,0.301,0.046,4000,0.346,0.1399550138171847,0.0851803517491056,0.0926388037959769
0.42999999999999994,0.5428571428571429,0.48642857142857143,AR2010,0400000US05,0.8290000000000001,0.195,0.267,0.039,5000,0.493,0.1426762172818776,0.07748394029251,0.0844262545048802
0.25000000000000006,0.275,0.26250000000000007,CA2010,0400000US06,0.807,0.301,0.253,0.049,6000,0.174,0.0878929752407513,0.1154095421947007,0.1297707447119347
0.1538461538461538,0.19999999999999996,0.17692307692307688,CO2010,0400000US08,0.897,0.364,0.253,0.046,8000,0.384,0.0859116029144362,0.0940143885625973,0.1050979172032837
0.5165562913907285,0.3333333333333333,0.42494481236203085,CT2010,0400000US09,0.8859999999999999,0.355,0.211,0.034,9000,0.172,0.109465715932114,0.1412620905513578,0.1617602621118935
0.17073170731707316,0.4285714285714286,0.29965156794425085,DE2010,0400000US10,0.877,0.278,0.221,0.0279999999999999,10000,0.269,0.1217404529070916,0.1016595440512219,0.1124839931257889
-0.27499999999999997,-0.30000000000000004,-0.2875,FL2010,0400000US12,0.855,0.258,0.281,0.0559999999999999,12000,0.27,0.1307700224077436,0.0955444638203923,0.1038639711798094
-0.17222222222222228,-0.2321428571428571,-0.20218253968253969,GA2010,0400000US13,0.843,0.273,0.301,0.047,13000,0.364,0.1410725874535524,0.0879555022082345,0.0968925345018694
0.7647058823529411,0.8400000000000001,0.8023529411764706,HI2010,0400000US15,0.899,0.295,0.182,0.0409999999999999,15000,0.084,0.0991247431652804,0.1163710263519151,0.1270701551326568
-0.48571428571428577,-0.6000000000000001,-0.5428571428571429,ID2010,0400000US16,0.883,0.244,0.256,0.055,16000,0.523,0.1354877416513354,0.0801156215699772,0.0870489276220763
0.18644067796610164,0.2542372881355932,0.22033898305084743,IL2010,0400000US17,0.8690000000000001,0.308,0.243,0.04,17000,0.243,0.1184264538150422,0.1022054524257725,0.1138012147220082
0.040000000000000036,-0.32,-0.13999999999999999,IN2010,0400000US18,0.87,0.2269999999999999,0.251,0.034,18000,0.391,0.1228606522711314,0.085189879821361,0.0934983740775141
0.12000000000000005,0.28,0.20000000000000004,IA2010,0400000US19,0.906,0.249,0.221,0.035,19000,0.411,0.1164226414230705,0.0868245985292278,0.0952525626533076
-0.21599999999999997,-0.55,-0.383,KS2010,0400000US20,0.892,0.298,0.242,0.037,20000,0.439,0.0946509715356308,0.0937713882166697,0.103337877998435
0.30000000000000004,-0.0789473684210526,0.11052631578947372,KY2010,0400000US21,0.8190000000000001,0.205,0.322,0.0409999999999999,21000,0.464,0.1719727752222224,0.0779989645845157,0.0856922678686352
0.01904761904761909,0.17948717948717952,0.0992673992673993,LA2010,0400000US22,0.8190000000000001,0.214,0.28,0.042,22000,0.454,0.1562750396195575,0.0944573452115074,0.1023819668580477
0.26490066225165565,0.14285714285714285,0.20387890255439925,ME2010,0400000US23,0.903,0.268,0.248,0.036,23000,0.46,0.1723836990779532,0.0845716213466026,0.0925658716174963
0.48226950354609927,0.4042553191489362,0.44326241134751776,MD2010,0400000US24,0.8809999999999999,0.361,0.1969999999999999,0.0279999999999999,24000,0.196,0.0913967451005645,0.1196023481754353,0.1350729210097211
0.8,0.725,0.7625,MA2010,0400000US25,0.8909999999999999,0.39,0.254,0.039,25000,0.122,0.1233370324537309,0.1204557258138428,0.1373858473531583
0.20909090909090905,-0.1578947368421053,0.02559808612440187,MI2010,0400000US26,0.887,0.252,0.2789999999999999,0.043,26000,0.342,0.1768762900220431,0.0843478507579294,0.0924899799586037
0.29850746268656714,0.3731343283582089,0.33582089552238803,MN2010,0400000US27,0.918,0.318,0.256,0.032,27000,0.41,0.0848988404760493,0.0962222239221858,0.108040360536789
0.21311475409836067,0.019230769230769218,0.11617276166456494,MS2010,0400000US28,0.81,0.195,0.3289999999999999,0.051,28000,0.48,0.1690918232331696,0.0794893328604933,0.0858467461543945
-0.09815950920245392,-0.35294117647058826,-0.2255503428365211,MO2010,0400000US29,0.8690000000000001,0.256,0.271,0.043,29000,0.463,0.139314685267086,0.0860142906491371,0.0943408314714195
0.0,-0.08000000000000002,-0.04000000000000001,MT2010,0400000US30,0.917,0.288,0.239,0.0559999999999999,30000,0.621,0.0990050825952769,0.0810575870211323,0.0885690023761815
0.3333333333333333,0.19047619047619047,0.26190476190476186,NV2010,0400000US32,0.847,0.217,0.223,0.051,32000,0.372,0.1088985675043013,0.0933404458022794,0.1017875129696477
0.11750000000000005,0.16666666666666669,0.14208333333333337,NH2010,0400000US33,0.915,0.3279999999999999,0.153,0.03,33000,0.394,0.0925633110930464,0.1102343475654355,0.1200566128152943
0.17500000000000004,0.14999999999999997,0.1625,NJ2010,0400000US34,0.88,0.354,0.205,0.032,34000,0.085,0.076663847578868,0.1252150959787493,0.1415105687422949
0.28571428571428575,0.28571428571428575,0.28571428571428575,NM2010,0400000US35,0.833,0.25,0.3389999999999999,0.054,35000,0.375,0.1356917234177967,0.0840138894878741,0.0908276843578595
0.4266666666666667,0.016129032258064502,0.2213978494623656,NY2010,0400000US36,0.8490000000000001,0.325,0.273,0.049,36000,0.143,0.1470971636341201,0.1129703532044443,0.1310918182036724
0.1333333333333333,0.19999999999999996,0.16666666666666663,NC2010,0400000US37,0.847,0.265,0.309,0.04,37000,0.35,0.1374830795734731,0.0850235598806709,0.0934670331930482
